Epoch,Split,Layer,Group,SubID,Accuracy,Precision,Recall,F1,AP
1,Val,AVG_ALL,greenery,MEAN,0.8320714285714287,0.09524285714285714,0.14285714285714285,0.1142857142857143,0.2158142857142857
1,Val,AVG_ALL,infrastructure,0,0.9474,0.0,0.0,0.0,0.0526
1,Val,AVG_ALL,infrastructure,1,0.2632,0.2632,1.0,0.4167,0.2479
1,Val,AVG_ALL,infrastructure,2,0.7193,0.0,0.0,0.0,0.2807
1,Val,AVG_ALL,infrastructure,3,0.9825,0.0,0.0,0.0,0.0175
1,Val,AVG_ALL,infrastructure,4,0.8947,0.0,0.0,0.0,0.1053
1,Val,AVG_ALL,infrastructure,5,0.8421,0.0,0.0,0.0,0.1579
1,Val,AVG_ALL,infrastructure,6,0.8947,0.0,0.0,0.0,0.0932
1,Val,AVG_ALL,infrastructure,7,0.9649,0.0,0.0,0.0,0.0351
1,Val,AVG_ALL,infrastructure,MEAN,0.8136,0.0329,0.125,0.0520875,0.12377500000000001
1,Val,AVG_ALL,road,0,0.6316,0.0,0.0,0.0,0.3985
1,Val,AVG_ALL,road,1,0.1228,0.1228,1.0,0.2188,0.1389
1,Val,AVG_ALL,road,2,0.6316,0.0,0.0,0.0,0.3985
1,Val,AVG_ALL,road,3,0.8596,0.0,0.0,0.0,0.1404
1,Val,AVG_ALL,road,4,0.2632,0.2632,1.0,0.4167,0.2632
1,Val,AVG_ALL,road,5,0.8246,0.0,0.0,0.0,0.1754
1,Val,AVG_ALL,road,6,0.8421,0.0,0.0,0.0,0.1579
1,Val,AVG_ALL,road,7,0.9123,0.0,0.0,0.0,0.0877
1,Val,AVG_ALL,road,MEAN,0.635975,0.04825,0.25,0.0794375,0.2200625
2,Train,ClassifyLayer_1,building,0,0.6593,0.0,0.0,0.0,0.3517
2,Train,ClassifyLayer_1,building,1,0.8451,0.0,0.0,0.0,0.1542
2,Train,ClassifyLayer_1,building,2,0.7434,0.0,0.0,0.0,0.2204
2,Train,ClassifyLayer_1,building,3,0.4558,0.32,0.1524,0.2065,0.425
2,Train,ClassifyLayer_1,building,4,0.9823,0.0,0.0,0.0,0.0177
2,Train,ClassifyLayer_1,building,5,0.9823,0.0,0.0,0.0,0.0283
2,Train,ClassifyLayer_1,building,6,0.7345,0.0,0.0,0.0,0.2407
2,Train,ClassifyLayer_1,building,7,0.7257,0.0,0.0,0.0,0.2797
2,Train,ClassifyLayer_1,building,MEAN,0.76605,0.04,0.01905,0.0258125,0.2147125
2,Train,ClassifyLayer_1,greenery,0,0.8938,0.0,0.0,0.0,0.0909
2,Train,ClassifyLayer_1,greenery,1,0.9204,0.0,0.0,0.0,0.0747
2,Train,ClassifyLayer_1,greenery,2,0.7655,0.0,0.0,0.0,0.2181
2,Train,ClassifyLayer_1,greenery,3,0.7522,0.0,0.0,0.0,0.2604
2,Train,ClassifyLayer_1,greenery,4,0.6327,0.6327,1.0,0.7751,0.6167
2,Train,ClassifyLayer_1,greenery,5,0.8938,0.0,0.0,0.0,0.11
2,Train,ClassifyLayer_1,greenery,6,1.0,0.0,0.0,0.0,0.0
2,Train,ClassifyLayer_1,greenery,MEAN,0.8369142857142856,0.09038571428571429,0.14285714285714285,0.11072857142857143,0.19582857142857144
2,Train,ClassifyLayer_1,infrastructure,0,0.9425,0.0,0.0,0.0,0.0538
2,Train,ClassifyLayer_1,infrastructure,1,0.3761,0.1507,0.5641,0.2378,0.1675
2,Train,ClassifyLayer_1,infrastructure,2,0.7035,0.0,0.0,0.0,0.3032
2,Train,ClassifyLayer_1,infrastructure,3,0.9779,0.0,0.0,0.0,0.0196
2,Train,ClassifyLayer_1,infrastructure,4,0.9159,0.0,0.0,0.0,0.0914
2,Train,ClassifyLayer_1,infrastructure,5,0.7301,0.0,0.0,0.0,0.2901
2,Train,ClassifyLayer_1,infrastructure,6,0.9602,0.0,0.0,0.0,0.0562
2,Train,ClassifyLayer_1,infrastructure,7,0.9735,0.0,0.0,0.0,0.0227
2,Train,ClassifyLayer_1,infrastructure,MEAN,0.8224625,0.0188375,0.0705125,0.029725,0.1255625
2,Train,ClassifyLayer_1,road,0,0.7389,0.0,0.0,0.0,0.232
2,Train,ClassifyLayer_1,road,1,0.792,0.04,0.0417,0.0408,0.0944
2,Train,ClassifyLayer_1,road,2,0.6593,0.0,0.0,0.0,0.3314
2,Train,ClassifyLayer_1,road,3,0.8496,0.0,0.0,0.0,0.1497
2,Train,ClassifyLayer_1,road,4,0.3142,0.3142,1.0,0.4781,0.3127
2,Train,ClassifyLayer_1,road,5,0.8142,0.0,0.0,0.0,0.1668
2,Train,ClassifyLayer_1,road,6,0.7124,0.0,0.0,0.0,0.2499
2,Train,ClassifyLayer_1,road,7,0.9071,0.0,0.0,0.0,0.0738
